0	0	0	0	50653.5	147.203
0.0004	0	0	0	50576.5	146.394
0.0008	0	0	0	50499.5	145.585
0.0012	0	0	0	50422.6	144.662
0.0016	0	0	0	50345.6	143.731
0.002	0	0	0	50268.6	142.802
0.0024	0	0	0	50191.7	141.876
0.0028	0	0	0	50114.7	140.953
0.0032	0	0	0	50037.7	140.032
0.0036	0	0	0	49960.8	139.114
0.004	0	0	0	49883.8	138.198
0.0044	0	0	0	49806.8	137.285
0.0048	0	0	0	49729.9	136.375
0.0052	0	0	0	49652.9	135.468
0.0056	0	0	0	49575.9	134.564
0.006	0	0	0	49499	133.663
0.0064	0	0	0	49422	132.764
0.0068	0	0	0	49345.1	131.868
0.0072	0	0	0	49268.1	130.976
0.0076	0	0	0	49191.1	130.086
0.008	0	0	0	48095.3	118.56
0.0084	0	0	0	46999.4	108.437
0.0088	0	0	0	45903.6	98.7669
0.0092	0	0	0	44807.8	89.0564
0.0096	0	0	0	43711.9	79.3904
0.01	0	0	0	42616.1	70.4122
0.0104	0	0	0	41520.3	62.0767
0.0108	0	0	0	40424.4	54.2861
0.0112	0	0	0	39328.6	46.4639
0.0116	0	1	0	38232.7	40.5552
0.012	0	0	0	36817.3	37.5961
0.0124	0	0	0	35401.9	31.0429
0.0128	0	0	0	33986.5	20.4611
0.0132	0	0	0	32571	13.5543
0.0136	0	0	0	31155.6	10.3007
0.014	0	0	0	29740.2	6.97011
0.0144	0	0	0	28324.8	4.20914
0.0148	0	0	0	26909.3	2.50126
0.0152	0	0	0	25493.9	1.44509
0.0156	0	0	0	24078.5	0.773455
0.016	0	0	0	23645.8	0.624899
0.0164	0	0	0	23213.1	0.492717
0.0168	0	0	0	22780.4	0.379138
0.0172	0	0	0	22347.7	0.269103
0.0176	0	0	0	21915	0.185656
0.018	0	1	1	21482.3	0.126534
0.0184	0	0	0	21049.6	0.0851938
0.0188	0	0	0	20616.9	0.157216
0.0192	0	0	0	20184.2	0.198037
0.0196	0	0	0	19751.5	0.116342
0.02	0	0	0	21996.6	0.199314
0.0204	0	0	0	24241.8	0.832997
0.0208	0	0	0	26487	2.13634
0.0212	0	0	0	28732.2	4.8978
0.0216	0	0	0	30977.3	9.86036
0.022	0	0	0	33222.5	15.718
0.0224	0	0	0	35467.7	31.446
0.0228	0	0	0	37712.9	39.5302
0.0232	0	0	0	39958.1	50.9899
0.0236	0	0	0	42203.2	67.1974
0.024	0	0	0	47057.9	108.955
0.0244	0	0	0	51912.5	160.335
0.0248	0	0	0	56767.2	218.279
0.0252	0	0	0	61621.8	283.414
0.0256	0	1	0	66476.5	354.449
0.026	0	0	0	71331.2	428.246
0.0264	0	0	0	76185.8	508.061
0.0268	0	0	0	81040.5	586.886
0.0272	0	0	0	85895.1	674.099
0.0276	0	0	0	90749.8	765.288
0.028	0	0	0	92689.9	801.446
0.0284	0	0	0	94630	837.855
0.0288	0	0	0	96570.1	874.807
0.0292	0	0	0	98510.3	912.136
0.0296	0	0	0	100450	946.758
0.03	0	0	0	102391	978.699
0.0304	0	0	0	104331	1019.54
0.0308	0	0	0	106271	1060.65
0.0312	0	0	0	108211	1096.01
0.0316	0	0	0	110151	1134.74
0.032	0	0	0	107798	1088.05
0.0324	0	0	0	105446	1043.84
0.0328	0	0	0	103093	992.407
0.0332	0	0	0	100740	951.694
0.0336	0	0	0	98387.3	909.844
0.034	0	0	0	96034.5	864.317
0.0344	0	1	0	93681.8	820.235
0.0348	0	0	0	91329	776.087
0.0352	0	0	0	88976.3	730.527
0.0356	0	0	0	86623.5	689.163
0.036	0	1	0	84067.5	642.932
0.0364	0	0	0	81511.5	596.017
0.0368	0	0	0	78955.4	552.513
0.0372	0	0	0	76399.4	512.037
0.0376	0	0	1	73843.4	468.6
0.038	0	0	0	71287.4	427.542
0.0384	0	0	0	68731.3	386.82
0.0388	0	0	0	66175.3	350.302
0.0392	0	0	0	63619.3	310.636
0.0396	0	0	0	61063.2	276.404
0.04	0	0	0	59865.4	260.907
0.0404	0	0	0	58667.6	244.213
0.0408	0	0	0	57469.8	227.138
0.0412	0	0	0	56272	212.208
0.0416	0	0	0	55074.2	197.587
0.042	0	0	0	53876.4	182.915
0.0424	0	2	0	52678.6	168.705
0.0428	0	0	0	51480.8	155.859
0.0432	0	0	0	50283	142.976
0.0436	0	0	0	49085.2	128.866
0.044	0	0	0	48647.5	124.01
0.0444	0	0	0	48209.7	119.67
0.0448	0	0	0	47772	115.48
0.0452	0	0	0	47334.2	111.435
0.0456	0	0	0	46896.5	107.525
0.046	0	0	0	46458.7	103.653
0.0464	0	0	0	46021	99.7969
0.0468	0	0	0	45583.2	95.9663
0.0472	0	0	0	45145.5	92.1085
0.0476	0	0	0	44707.8	88.1584
0.048	0	0	0	44584.1	87.0524
0.0484	0	1	0	44460.5	85.9509
0.0488	0	3	0	44336.8	84.8542
0.0492	0	0	0	44213.2	83.7624
0.0496	0	1	0	44089.5	82.6757
0.05	0	0	0	43965.9	81.5943
0.0504	0	0	0	43842.3	80.5184
0.0508	0	0	0	43718.6	79.448
0.0512	0	0	0	43595	78.3834
0.0516	0	1	0	43471.3	77.3408
0.052	0	2	0	43489.1	77.4887
0.0524	0	1	1	43506.9	77.6367
0.0528	0	0	0	43524.7	77.7849
0.0532	0	1	0	43542.5	77.9334
0.0536	0	0	0	43560.3	78.0858
0.054	0	0	0	43578.1	78.2384
0.0544	0	1	0	43595.9	78.3911
0.0548	0	0	0	43613.7	78.544
0.0552	0	0	0	43631.4	78.6969
0.0556	0	0	0	43649.2	78.85
