4e-05	4e-05	0.004	9.37076e-05
4e-05	4e-05	0.008	9.37065e-05
4e-05	4e-05	0.012	9.37055e-05
4e-05	4e-05	0.016	9.37044e-05
4e-05	4e-05	0.02	9.37034e-05
4e-05	4e-05	0.024	9.37023e-05
4e-05	4e-05	0.028	9.37013e-05
4e-05	4e-05	0.032	9.37002e-05
4e-05	4e-05	0.036	9.36992e-05
4e-05	4e-05	0.04	9.36982e-05
4e-05	4e-05	0.044	9.36971e-05
4e-05	4e-05	0.048	9.36961e-05
4e-05	4e-05	0.052	9.3695e-05
4e-05	4e-05	0.056	9.3694e-05
4e-05	4e-05	0.06	9.36929e-05
4e-05	4e-05	0.064	9.36919e-05
4e-05	4e-05	0.068	9.36908e-05
4e-05	4e-05	0.072	9.36898e-05
4e-05	4e-05	0.076	9.36887e-05
4e-05	4e-05	0.08	9.36877e-05
4e-05	4e-05	0.084	9.36866e-05
4e-05	4e-05	0.088	9.36856e-05
4e-05	4e-05	0.092	9.36845e-05
4e-05	4e-05	0.096	9.36835e-05
4e-05	4e-05	0.1	9.36824e-05
4e-05	4e-05	0.104	9.36814e-05
4e-05	4e-05	0.108	9.36803e-05
4e-05	4e-05	0.112	9.36793e-05
4e-05	4e-05	0.116	9.36782e-05
4e-05	4e-05	0.12	9.36772e-05
4e-05	4e-05	0.124	9.36761e-05
4e-05	4e-05	0.128	9.36751e-05
4e-05	4e-05	0.132	9.36741e-05
4e-05	4e-05	0.136	9.3673e-05
4e-05	4e-05	0.14	9.3672e-05
4e-05	4e-05	0.144	9.36709e-05
4e-05	4e-05	0.148	9.36699e-05
4e-05	4e-05	0.152	9.36688e-05
4e-05	4e-05	0.156	9.36678e-05
4e-05	4e-05	0.16	9.36667e-05
4e-05	4e-05	0.164	9.36657e-05
4e-05	4e-05	0.168	9.36646e-05
4e-05	4e-05	0.172	9.36636e-05
4e-05	4e-05	0.176	9.36625e-05
4e-05	4e-05	0.18	9.36615e-05
4e-05	4e-05	0.184	9.36604e-05
4e-05	4e-05	0.188	9.36594e-05
4e-05	4e-05	0.192	9.36583e-05
4e-05	4e-05	0.196	9.36573e-05
4e-05	4e-05	0.2	9.36563e-05
4e-05	8e-05	0.004	-0.817155
4e-05	8e-05	0.008	-0.753928
4e-05	8e-05	0.012	-0.702987
4e-05	8e-05	0.016	-0.660564
4e-05	8e-05	0.02	-0.624404
4e-05	8e-05	0.024	-0.593041
4e-05	8e-05	0.028	-0.565465
4e-05	8e-05	0.032	-0.540951
4e-05	8e-05	0.036	-0.51896
4e-05	8e-05	0.04	-0.499079
4e-05	8e-05	0.044	-0.480988
4e-05	8e-05	0.048	-0.464431
4e-05	8e-05	0.052	-0.449202
4e-05	8e-05	0.056	-0.435132
4e-05	8e-05	0.06	-0.422082
4e-05	8e-05	0.064	-0.409935
4e-05	8e-05	0.068	-0.398592
4e-05	8e-05	0.072	-0.387969
4e-05	8e-05	0.076	-0.377994
4e-05	8e-05	0.08	-0.368604
4e-05	8e-05	0.084	-0.359746
4e-05	8e-05	0.088	-0.351371
4e-05	8e-05	0.092	-0.343439
4e-05	8e-05	0.096	-0.335912
4e-05	8e-05	0.1	-0.328757
4e-05	8e-05	0.104	-0.321947
4e-05	8e-05	0.108	-0.315454
4e-05	8e-05	0.112	-0.309256
4e-05	8e-05	0.116	-0.303331
4e-05	8e-05	0.12	-0.29766
4e-05	8e-05	0.124	-0.292227
4e-05	8e-05	0.128	-0.287016
4e-05	8e-05	0.132	-0.282012
4e-05	8e-05	0.136	-0.277202
4e-05	8e-05	0.14	-0.272576
4e-05	8e-05	0.144	-0.268121
4e-05	8e-05	0.148	-0.263828
4e-05	8e-05	0.152	-0.259687
4e-05	8e-05	0.156	-0.255691
4e-05	8e-05	0.16	-0.251831
